RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
  -0.241       -8.464            8.223           -8.024            7.783           -1.882            1.641           -6.837            6.595     
   0.033       -6.931            6.965           -6.806            6.839           -1.776            1.809           -5.423            5.456     
  -0.409       -2.942            2.533           -2.831            2.423           -1.997            1.589           -5.232            4.823     
   7.263       11.107           -3.843           11.888           -4.625            5.293            1.971            9.633           -2.370     
   1.083        7.004           -5.921            7.604           -6.521           -1.030            2.113            6.546           -5.464     
  -6.981        2.623           -9.605            3.078          -10.059           -8.898            1.916           -2.854           -4.127     
  10.756        6.869            3.888            6.852            3.904            8.783            1.974            5.718            5.039     
   6.294        4.050            2.244            3.819            2.475            4.165            2.129            4.021            2.273     
   0.308        2.393           -2.085            2.065           -1.757           -1.605            1.913           -2.814            3.122     
  10.337        4.533            5.804            4.885            5.452            8.450            1.887            3.031            7.306     
   7.464        3.427            4.038            3.573            3.891            5.425            2.039            3.016            4.448     
   3.189        3.196           -0.007            3.224           -0.036            1.357            1.832           -2.322            5.511     
   9.584        3.521            6.063            3.826            5.758            7.722            1.862            1.855            7.729     
   7.302        2.975            4.327            3.072            4.230            5.287            2.014            2.408            4.894     
   3.705        3.437            0.268            3.417            0.288            1.898            1.807           -2.242            5.947     
   9.056        3.670            5.386            4.053            5.003            7.249            1.807            1.613            7.443     
   7.467        3.976            3.490            4.164            3.302            5.512            1.955            2.980            4.487     
   4.371        4.642           -0.270            4.690           -0.319            2.615            1.756           -1.394            5.765     

Statistical Summary dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             0.000                             -0.000                            -0.000                            -0.000               
RMSD                       4.330                             4.343                             6.924                             4.920                
CV                         3.687                             3.654                             5.511                             4.126                
AIC                       557.181                           554.317                           723.844                           600.677               
dAIC                       2.864                             0.000                            169.528                            46.360               
AICc                     557.650                           554.538                           723.910                           600.898               
dAICc                     3.113                             0.000                            169.372                            46.360               


dG-+
