RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
  -0.901       -0.027           -0.874            0.737           -1.639            2.164           -3.066           -1.314            0.413     
   4.381        0.198            4.183            1.518            2.863            7.241           -2.860            0.305            4.076     
   2.911        0.501            2.410           -0.748            3.659            4.928           -2.017            1.057            1.855     
   0.227        0.339           -0.112            0.934           -0.707            3.380           -3.153           -0.987            1.214     
   3.898       -0.125            4.023            0.893            3.006            6.976           -3.078           -0.056            3.954     
   3.272        1.225            2.047           -0.378            3.650            5.532           -2.260            1.733            1.539     
   0.963        1.060           -0.097            1.396           -0.433            4.313           -3.350           -0.296            1.259     
   0.044        2.069           -2.025            2.965           -2.921            3.000           -2.956            2.342           -2.299     
 -11.025        2.297          -13.322            3.037          -14.062           -7.826           -3.199            2.898          -13.924     
 -13.319        1.265          -14.584           -0.129          -13.190          -10.975           -2.344            1.640          -14.959     
 -18.537       -0.929          -17.608           -0.923          -17.614          -15.047           -3.490           -1.736          -16.801     
  -3.326       -0.330           -2.996            0.133           -3.459           -0.203           -3.123            0.083           -3.409     
  -3.873       -0.164           -3.709           -1.698           -2.175           -1.672           -2.201            0.047           -3.920     
  -7.297        0.252           -7.549           -0.085           -7.212           -3.850           -3.447           -0.755           -6.542     
  -0.665       -2.544            1.879           -1.488            0.822            2.677           -3.342           -1.835            1.170     
   0.497       -0.514            1.011           -1.494            1.990            2.936           -2.439           -0.014            0.511     
  -1.164        1.307           -2.471            1.613           -2.777            2.477           -3.641            0.604           -1.768     
  -0.901       -3.873            2.972           -2.851            1.949            2.497           -3.398           -3.162            2.261     
   0.784       -1.359            2.143           -2.362            3.146            3.274           -2.490           -0.855            1.639     
   0.347        1.703           -1.356            1.981           -1.634            4.041           -3.694            1.003           -0.657     
  -0.762       -4.213            3.450           -3.238            2.476            2.791           -3.553           -3.465            2.703     
   1.766       -0.652            2.418           -1.754            3.520            4.436           -2.670           -0.121            1.887     
   1.704        2.407           -0.703            2.681           -0.977            5.532           -3.828            1.753           -0.048     
  -7.177        0.486           -7.663            3.201          -10.379           -5.352           -1.825            0.356           -7.533     
 -12.961       -2.460          -10.501           -2.786          -10.175          -11.881           -1.080           -1.723          -11.237     
 -20.449       -8.581          -11.868           -6.553          -13.896          -18.339           -2.110          -10.176          -10.274     
   2.984        0.922            2.061            3.120           -0.137            4.792           -1.808            0.533            2.450     
  -1.052       -0.826           -0.227           -1.531            0.479           -0.057           -0.995           -0.323           -0.729     
  -6.747       -4.337           -2.410           -2.892           -3.855           -4.621           -2.126           -6.202           -0.545     
   3.422       -1.149            4.571            0.698            2.724            5.683           -2.261           -1.520            4.942     
   1.094       -1.033            2.128           -2.129            3.223            2.562           -1.467           -0.520            1.614     
  -2.837       -3.140            0.303           -1.996           -0.841           -0.283           -2.554           -4.978            2.141     
   2.971       -1.917            4.888           -0.414            3.385            5.364           -2.394           -2.377            5.348     
   1.166       -1.317            2.483           -2.747            3.913            2.761           -1.595           -0.891            2.057     
  -1.542       -2.183            0.641           -1.377           -0.165            1.142           -2.684           -4.109            2.567     
   2.751       -1.279            4.030           -0.357            3.108            5.431           -2.681           -1.858            4.609     
   1.790        0.368            1.422           -1.694            3.484            3.697           -1.907            0.665            1.125     
  -0.543       -0.500           -0.042           -0.232           -0.310            2.407           -2.949           -2.538            1.996     

Statistical Summary dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             0.000                             0.000                             0.000                             -0.000               
RMSD                       2.619                             2.876                             6.878                             2.754                
CV                         1.992                             2.325                             5.515                             2.043                
AIC                       285.428                           308.012                           551.666                           295.699               
dAIC                       0.000                             22.584                           266.237                            10.271               
AICc                     286.051                           308.304                           551.752                           295.991               
dAICc                     0.000                             22.253                           265.701                            9.941                


dH-+
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dH-+       error            result           error            result           error            result           error            result        
  39.197      -10.460           49.657          -10.619           49.816           -9.984           49.181          -10.397           49.594     
  46.606       -2.876           49.482           -2.635           49.241           -0.658           47.264           -2.988           49.594     
  57.361        7.701           49.660            7.533           49.829            8.298           49.063            7.768           49.594     
  11.711       -9.014           20.725           -9.106           20.817           -8.758           20.469           -8.982           20.693     
  19.120       -1.430           20.551           -1.122           20.243            0.568           18.552           -1.573           20.693     
  29.876        9.147           20.729            9.046           20.830            9.524           20.352            9.182           20.693     
  -7.887      -10.863            2.976          -10.988            3.101          -10.708            2.821          -10.816            2.929     
  -0.478       -3.279            2.801           -3.004            2.526           -1.382            0.904           -3.407            2.929     
  10.277        7.298            2.980            7.163            3.114            7.574            2.703            7.348            2.929     
 -14.101      -12.815           -1.286          -12.934           -1.168          -12.692           -1.410          -12.772           -1.330     
  -6.692       -5.232           -1.461           -4.949           -1.743           -3.366           -3.327           -5.363           -1.330     
   4.063        5.346           -1.282            5.218           -1.155            5.591           -1.528            5.393           -1.330     
 -20.077      -14.332           -5.745          -14.450           -5.626          -14.237           -5.839          -14.288           -5.789     
 -12.667       -6.748           -5.919           -6.466           -6.201           -4.911           -7.756           -6.879           -5.789     
  -1.912        3.829           -5.741            3.701           -5.613            4.045           -5.957            3.877           -5.789     
  45.602       -7.833           53.435           -7.952           53.554           -8.242           53.844           -7.774           53.377     
  52.414       -0.917           53.331           -0.839           53.253            0.198           52.216           -0.963           53.377     
  61.855        8.420           53.435            8.300           53.554            8.142           53.713            8.478           53.377     
  19.120       -5.268           24.388           -5.325           24.445           -5.895           25.016           -5.238           24.359     
  25.932        1.648           24.284            1.788           24.144            2.544           23.388            1.573           24.359     
  35.373       10.985           24.388           10.927           24.446           10.488           24.885           11.014           24.359     
  -0.932       -7.101            6.169           -7.211            6.279           -7.824            6.892           -7.047            6.115     
   5.880       -0.185            6.065           -0.098            5.977            0.616            5.264           -0.236            6.115     
  15.320        9.151            6.169            9.041            6.279            8.560            6.761            9.205            6.115     
  -7.600       -9.353            1.752           -9.462            1.862          -10.104            2.504           -9.299            1.699     
  -0.789       -2.437            1.648           -2.349            1.560           -1.665            0.876           -2.487            1.699     
   8.652        6.900            1.752            6.790            1.862            6.279            2.373            6.953            1.699     
