RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Br  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
   2.151       -0.179            2.330           -0.239            2.390           -1.045            3.196           -0.781            2.932     
  -3.179       -1.398           -1.781           -1.494           -1.685           -2.231           -0.948           -1.946           -1.233     
  -8.437       -1.927           -6.509           -2.046           -6.391           -3.020           -5.417           -2.712           -5.724     
  41.539        2.634           38.906            4.290           37.249            1.577           39.962            0.040           41.500     
  20.172        5.675           14.497            6.809           13.363            7.020           13.152            5.620           14.552     
   4.493        6.426           -1.933            7.361           -2.867            7.664           -3.171            6.348           -1.854     
  -0.741        4.462           -5.203            5.192           -5.933            6.325           -7.065            5.028           -5.769     
  -6.023        2.462           -8.485            2.878           -8.901            5.082          -11.105            3.806           -9.829     

Statistical Summary dG-+
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             -0.000                            -0.000                            -0.000                            0.000                
RMSD                       3.146                             3.200                             3.892                             3.789                
CV                         2.852                             2.870                             3.516                             3.430                
AIC                       154.115                           152.244                           172.517                           173.167               
dAIC                       1.871                             0.000                             20.273                            20.923               
AICc                     155.642                           152.946                           172.720                           173.869               
dAICc                     2.696                             0.000                             19.775                            20.923               
