RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
  45.602       -0.794           46.397           -1.020           46.623           -2.742           48.344           -2.643           48.245     
  52.414        1.077           51.337            2.667           49.747            5.688           46.726            4.169           48.245     
  61.855       16.180           45.675           15.839           46.016           13.641           48.214           13.609           48.245     
 -13.193      -31.290           18.096          -32.086           18.893          -33.001           19.808          -32.376           19.183     
  19.120        0.291           18.829           -0.126           19.246           -0.566           19.687           -0.063           19.183     
  25.932        2.163           23.770            3.562           22.370            7.863           18.069            6.749           19.183     
  35.373       17.265           18.108           16.733           18.640           15.816           19.557           16.190           19.183     
 -33.246      -31.728           -1.518          -32.520           -0.726          -35.037            1.791          -34.157            0.912     
  -0.932       -0.147           -0.785           -0.560           -0.373           -2.602            1.670           -1.844            0.912     
   5.880        1.724            4.155            3.128            2.751            5.828            0.052            4.968            0.912     
  15.320       16.827           -1.507           16.300           -0.979           13.781            1.540           14.409            0.912     
 -39.914      -34.029           -5.885          -34.844           -5.070          -37.343           -2.571          -36.402           -3.512     
  -7.600       -2.448           -5.152           -2.884           -4.716           -4.909           -2.692           -4.089           -3.512     
  -0.789       -0.577           -0.212            0.803           -1.592            3.521           -4.310            2.723           -3.512     
   8.652       14.526           -5.874           13.975           -5.323           11.474           -2.822           12.164           -3.512     
 -46.295      -35.511          -10.784          -36.346           -9.949          -39.051           -7.245          -38.043           -8.252     
 -13.982       -3.930          -10.051           -4.386           -9.595           -6.616           -7.366           -5.730           -8.252     
  -7.170       -2.059           -5.111           -0.699           -6.471            1.814           -8.984            1.082           -8.252     
   2.271       13.044          -10.773           12.473          -10.202            9.767           -7.496           10.523           -8.252     
  46.463       -0.284           46.747           -0.700           47.163           -2.329           48.791           -2.166           48.629     
  52.725        0.802           51.922            2.375           50.350            5.528           47.197            4.095           48.629     
  62.094       16.072           46.022           15.538           46.555           13.433           48.661           13.465           48.629     
  18.786       -0.376           19.162           -0.982           19.768           -1.341           20.127           -0.774           19.560     
  25.048        0.710           24.337            2.092           22.955            6.515           18.533            5.488           19.560     
  34.417       15.980           18.437           15.256           19.161           14.420           19.996           14.857           19.560     
  -0.765       -0.197           -0.567           -0.794            0.029           -2.830            2.065           -2.008            1.243     
   5.497        0.889            4.608            2.281            3.216            5.027            0.471            4.254            1.243     
  14.866       16.159           -1.293           15.445           -0.579           12.932            1.934           13.623            1.243     
  -8.317       -3.346           -4.971           -3.964           -4.353           -6.006           -2.311           -5.122           -3.195     
  -2.055       -2.259            0.204           -0.890           -1.166            1.850           -3.906            1.140           -3.195     
   7.314       13.011           -5.697           12.274           -4.961            9.755           -2.442           10.509           -3.195     
 -14.818       -4.880           -9.938           -5.515           -9.303           -7.806           -7.012           -6.856           -7.962     
  -8.556       -3.793           -4.763           -2.440           -6.116            0.050           -8.606           -0.594           -7.962     
   0.813       11.477          -10.664           10.724           -9.911            7.955           -7.143            8.775           -7.962     
  45.339       -1.091           46.431           -1.724           47.064           -3.616           48.956           -3.398           48.737     
  52.414        0.500           51.914            2.080           50.334            5.022           47.392            3.677           48.737     
  60.899       15.197           45.702           14.444           46.455           12.074           48.825           12.161           48.737     
  17.854       -0.991           18.844           -1.814           19.667           -2.437           20.290           -1.814           19.667     
  24.928        0.600           24.328            1.991           22.937            6.201           18.727            5.261           19.667     
  33.413       15.297           18.116           14.354           19.059           13.253           20.160           13.746           19.667     
  -1.769       -0.871           -0.897           -1.684           -0.085           -3.993            2.224           -3.114            1.346     
   5.306        0.719            4.587            2.120            3.185            4.645            0.660            3.960            1.346     
  13.791       15.417           -1.626           14.484           -0.693           11.698            2.093           12.445            1.346     
 -15.296       -5.014          -10.282           -5.865           -9.431           -8.438           -6.858           -7.431           -7.865     
  -8.222       -3.424           -4.798           -2.061           -6.161            0.200           -8.422           -0.357           -7.865     
   0.263       11.274          -11.011           10.303          -10.040            7.252           -6.989            8.128           -7.865     
  50.621        0.252           50.370           -2.186           52.808           -2.473           53.095           -1.806           52.427     
  54.374       -3.341           57.714           -2.204           56.577            2.655           51.718            1.947           52.427     
  61.401       11.738           49.663            9.196           52.205            8.434           52.966            8.974           52.427     
  23.614        0.851           22.763           -1.776           25.390           -0.808           24.422            0.265           23.349     
  27.366       -2.741           30.107           -1.793           29.160            4.321           23.045            4.017           23.349     
  34.393       12.337           22.056            9.606           24.787           10.100           24.293           11.044           23.349     
   5.617        3.605            2.012            1.034            4.583           -0.344            5.960            0.990            4.627     
   9.369        0.012            9.357            1.017            8.352            4.785            4.584            4.742            4.627     
  16.396       15.091            1.305           12.416            3.980           10.564            5.832           11.769            4.627     
  -0.191        2.511           -2.702           -0.067           -0.124           -1.654            1.463           -0.257            0.066     
   3.561       -1.081            4.642           -0.085            3.646            3.475            0.086            3.495            0.066     
  10.588       13.997           -3.409           11.314           -0.726            9.254            1.334           10.522            0.066     
