RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
   8.090        1.639            6.452            1.860            6.230            6.301            1.789            4.335            3.755     
   4.907       -0.157            5.064           -0.887            5.793            2.523            2.384            2.041            2.866     
   0.321        0.449           -0.128            0.252            0.068           -1.278            1.598           -0.842            1.163     
   7.337        0.219            7.119            0.494            6.843            5.573            1.765            2.971            4.367     
   4.744       -1.023            5.767           -1.700            6.444            2.381            2.363            1.235            3.509     
   0.837        0.278            0.559            0.134            0.702           -0.739            1.576           -0.955            1.792     
  -1.484       -9.106            7.621           -8.439            6.955           -3.120            1.636           -5.966            4.482     
   6.618       -0.773            7.391           -0.199            6.817            4.929            1.689            2.099            4.520     
   4.718       -1.128            5.846           -1.502            6.220            2.447            2.271            1.221            3.496     
   1.312        0.315            0.998            0.465            0.847           -0.202            1.514           -0.775            2.087     
  22.851       23.130           -0.279           24.256           -1.405           20.322            2.529           23.383           -0.532     
   5.590        6.172           -0.582            7.204           -1.614            3.015            2.576            6.301           -0.711     
  -0.351        2.753           -3.104            2.834           -3.186           -3.431            3.079            3.735           -4.086     
  -8.846       -1.763           -7.082           -1.151           -7.695          -11.237            2.392           -5.649           -3.197     
  17.546       12.119            5.427           12.240            5.306           14.984            2.562           12.208            5.338     
  10.852        5.693            5.159            5.720            5.132            8.240            2.612            5.664            5.188     
   6.629        3.469            3.160            2.531            4.097            3.470            3.159            4.368            2.261     
   0.213        1.809           -1.596            1.422           -1.209           -2.194            2.407           -2.272            2.485     
   8.841        1.854            6.987            2.603            6.238            6.486            2.355            2.215            6.626     
   9.500        2.802            6.699            3.456            6.045            7.097            2.403            3.041            6.459     
   6.867        2.315            4.552            2.009            4.858            3.929            2.938            3.461            3.405     
   2.161        2.023            0.138            2.259           -0.098           -0.053            2.214           -1.761            3.922     
   7.505        0.663            6.842            1.265            6.240            5.159            2.346            0.817            6.687     
   5.461        0.729            4.732            0.370            5.091            2.578            2.883            1.796            3.665     
   1.434        1.132            0.302            1.316            0.118           -0.724            2.158           -2.733            4.167     
   0.882       -5.558            6.440           -4.762            5.644           -1.278            2.160           -5.421            6.303     
   5.758       -0.374            6.131            0.328            5.430            3.551            2.206           -0.362            6.120     
   4.407        0.579            3.828            0.325            4.083            1.679            2.728            1.476            2.932     
   0.882        1.125           -0.243            1.404           -0.522           -1.151            2.033           -2.860            3.742     
   6.403        9.741           -3.338            9.932           -3.529            4.459            1.944           12.315           -5.912     
  -0.782        4.985           -5.767            4.226           -5.008           -3.237            2.455            8.238           -9.019     
  -9.443        0.404           -9.847            0.176           -9.619          -11.202            1.759           -1.019           -8.424     
  13.864       11.240            2.624           10.470            3.393           11.869            1.994           13.714            0.149     
   8.397        7.678            0.719            5.946            2.452            5.849            2.549           10.907           -2.509     
   1.814        5.954           -4.140            4.771           -2.957            0.026            1.789            4.394           -2.580     
  13.301        7.634            5.666            7.796            5.504           11.418            1.882           10.779            2.521     
   9.424        5.810            3.614            5.013            4.411            7.000            2.424            9.688           -0.264     
   4.551        5.454           -0.903            5.198           -0.647            2.859            1.693            4.593           -0.042     
  12.811        6.526            6.285            6.732            6.079           10.956            1.855            9.713            3.098     
   9.524        5.255            4.269            4.502            5.023            7.124            2.400            9.181            0.344     
   5.330        5.595           -0.265            5.382           -0.052            3.663            1.667            4.778            0.552     
