RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
   0.837        5.155           -4.319            3.992           -3.155            4.643           -3.807            5.117           -4.281     
  -4.254        5.369           -9.623            3.250           -7.504            4.154           -8.408            4.644           -8.898     
  38.480        0.563           37.917           -0.573           39.053           -0.816           39.296           -1.390           39.870     
  15.344        1.384           13.960            4.011           11.333            3.083           12.261            2.599           12.745     
   0.598        4.793           -4.196            5.501           -4.903            5.128           -4.531            4.701           -4.104     
  -3.394        4.220           -7.614            5.574           -8.968            5.182           -8.576            4.768           -8.162     
  -7.457        3.686          -11.143            5.682          -13.139            5.398          -12.855            4.999          -12.456     
  45.889       -4.330           50.219            2.283           43.606            2.525           43.364            2.359           43.530     
  20.555       -5.308           25.863            4.708           15.846            4.298           16.257            4.222           16.332     
   5.019        0.027            4.993            5.682           -0.663            6.048           -1.029            6.030           -1.011     
  -0.478       -1.195            0.717            4.335           -4.813            4.751           -5.229            4.748           -5.226     
  -5.975       -1.584           -4.391            3.168           -9.143            3.820           -9.795            3.832           -9.807     
  11.711       -3.097           14.809           -3.181           14.892           -3.671           15.382           -3.507           15.218     
  -5.497       -0.575           -4.922           -3.995           -1.503           -3.801           -1.696           -3.580           -1.917     
 -11.711       -2.855           -8.856           -6.092           -5.619           -5.876           -5.835           -5.641           -6.070     
 -16.252       -2.936          -13.317           -6.369           -9.883           -5.969          -10.284           -5.719          -10.533     
  35.875       -4.059           39.933           -6.382           42.257           -6.261           42.136           -6.287           42.162     
  11.018       -4.660           15.679           -3.489           14.507           -4.029           15.047           -3.964           14.982     
  -6.023       -2.061           -3.962           -4.145           -1.878           -4.008           -2.015           -3.886           -2.137     
  40.320       -1.449           41.769           -2.742           43.062           -2.533           42.854           -2.480           42.800     
  14.508       -2.951           17.459           -0.799           15.307           -1.247           15.755           -1.103           15.611     
